rho,volvol,v_atm_n,alpha,F,K,log_moneyness,beta,T,Shift,y_scaled
-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-1.0,-0.9999999999999993,0.25,1.0,0.0,0.00158589313129169
-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9976865240023135,-0.643824530433497,0.25,1.0,0.0,0.0033137087757472913
-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.995373048004627,-0.31736632215360794,0.25,1.0,0.0,0.004946238720131793
-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9930595720069404,-0.016046115979360204,0.25,1.0,0.0,0.00649947407830495
-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9907460960092539,0.263732190579827,0.25,1.0,0.0,0.007986299761257814
-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9884326200115674,0.5248442859637645,0.25,1.0,0.0,0.009417247494561553
-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9861191440138809,0.7696258868568887,0.25,1.0,0.0,0.010801030012834037
-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9838056680161943,1.0,0.25,1.0,0.0,0.01214492913672141
-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.7619433198380567,-0.9999999999999993,0.25,1.0,0.0,0.03853317085099193
-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.7369577790630422,-0.6438245304334964,0.25,1.0,0.0,0.027360985019854227
-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.7119722382880278,-0.31736632215360744,0.25,1.0,0.0,0.017545377722047145
-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.6869866975130132,-0.016046115979360648,0.25,1.0,0.0,0.009934322968955476
-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.6620011567379989,0.26373219057982783,0.25,1.0,0.0,0.005455991469254179
-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.6370156159629844,0.5248442859637645,0.25,1.0,0.0,0.004781252855972534
-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.6120300751879699,0.7696258868568887,0.25,1.0,0.0,0.007965716018689416
-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.5870445344129555,1.0,0.25,1.0,0.0,0.01444828442461727
