beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,T,Shift,dV_dF,dV_dK,dV_dBeta,dV_dRho,dV_dVolvol,dV_dVatm,volatility,d2V_dF2,d2V_dK2
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.0075,-0.2876820724517809,1.0,0.0,-0.013162675897154807,0.0554262320935639,-0.000680360853592965,-0.00017457248320529306,0.00035226362105067466,0.9994265750060127,0.004874134354019274,1878189.5917002743,-5.316927453868913
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.008214285714285714,-0.19671029424605427,1.0,0.0,-0.016358160746104966,0.05217342929214608,-0.00047595027138219725,-0.00012606966338923886,0.00024162691986129303,1.011941132972316,0.004912525733199599,1901708.1052258299,-4.102621020685149
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.008928571428571428,-0.11332868530700324,1.0,0.0,-0.0194269923065038,0.04947655930787054,-0.0002799960419769265,-7.637696985279829e-05,0.00013878237361403256,1.0236499203841731,0.004948799901869861,1923712.2658721793,-3.5995512126518743
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.009642857142857144,-0.03636764417087472,1.0,0.0,-0.02238253029099302,0.04722421446945457,-9.159845451578441e-05,-2.5677719499295204e-05,4.4144799794809675e-05,1.0346340437172863,0.004983312176245465,1944356.7415844407,0.12143064331837648
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.010357142857142856,0.03509131981126998,1.0,0.0,-0.025235255812078305,0.04533280515819437,8.997244269060012e-05,2.5873122221076184e-05,-4.198903898189332e-05,1.0449594661787742,0.005016348853944534,1963758.747627886,-2.4984968513450503
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.011071428571428572,0.10178269430994238,1.0,0.0,-0.027993350259353234,0.04373840307633679,0.0002653197644225669,7.814199287636825e-05,-0.0001194110166649609,1.0546809535091906,0.005048143945737328,1982028.8292560217,-1.9742272333052173
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.011785714285714287,0.16430305129127634,1.0,0.0,-0.030663454674700885,0.04239106122104527,0.0004349490082336538,0.00013101121316277942,-0.00018798331207631191,1.0638445879437852,0.005078891045135679,1999249.8715565298,-1.673490445291271
0.25,-0.25,0.15,0.005,0.015877682583260354,0.01,0.0125,0.22314355131420976,1.0,0.0,-0.033250907582882405,0.04125117275544099,0.0005992895164494416,0.0001843755721014917,-0.00024762460571620126,1.0724897695629787,0.0051087519513098,2015496.641111225,-1.5099033134902131
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.081,-0.2876820724517809,1.0,0.0,0.03514996468883217,-0.03346477565008551,-0.0006345734805679459,-0.0014464806843625388,0.00725425640998173,0.9219156816425711,0.005695088229028725,5.683286655456081,0.260433260758597
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.08871428571428572,-0.19671029424605413,1.0,0.0,0.03172869552129992,-0.030586346780048682,-0.00045302491185478244,-0.0011523897704146524,0.004766584868996782,0.9467272894456147,0.005446846685497961,6.05874185222421,0.5002341335795178
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.09642857142857143,-0.11332868530700312,1.0,0.0,0.026204093004263594,-0.025545639191955814,-0.000271626863362906,-0.0007680664593917585,0.002450596284925277,0.9724165731320178,0.005228747779596454,6.524101056299264,0.8193720050875539
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.10414285714285715,-0.03636764417087483,1.0,0.0,0.018047761234302392,-0.01783576887005301,-9.000263034852907e-05,-0.0002799112521628677,0.000612430063259839,0.9935991923323839,0.0050596331579492925,7.004109631291989,1.1759972668628393
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.11185714285714286,0.03509131981127019,1.0,0.0,0.007417117653088193,-0.007619222669550178,8.836777143361729e-05,0.0002965431468091029,-0.0003425738208731599,1.0022799543443761,0.004960126406027043,7.316728693920869,1.4412101279033982
