beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,T,Shift,volatility_scaled,dV_dbeta_scaled,dV_drho_scaled,dV_dvolvol_scaled,dV_dvatm_scaled,dV_dF_scaled,dV_dK_scaled
-1.0,-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9999999999999999,-0.9999999999999996,1.0,0.0,0.0012671085686727969,-0.45221111690417043,-0.2799381364940898,-0.9421586731574422,-0.24665645562953875,0.7919014815052955,-0.6459607289990783
-1.0,-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9971139971139971,-0.6147098441152078,1.0,0.0,0.003308448031511806,-0.36872698538980353,-0.273801876037643,-0.9470114658726597,-0.17561286676650933,0.7809069841481187,-0.6591027041048914
-1.0,-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9942279942279941,-0.2748598412305837,1.0,0.0,0.0051929976452957894,-0.2901975700223304,-0.26745865116116163,-0.9513284154203625,-0.11119086184225946,0.7705516686307681,-0.6690770139840847
-1.0,-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9913419913419913,0.029146345659516293,1.0,0.0,0.006957722822538037,-0.21590294868903018,-0.26095439175339435,-0.9550765560744878,-0.05248120275990775,0.7607459720824429,-0.6767494951570638
-1.0,-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9884559884559884,0.3041533931593856,1.0,0.0,0.008629886471988483,-0.14530406828250933,-0.2543258851183138,-0.9582366447893509,0.0012008722607514954,0.7514267908778445,-0.682698534789582
-1.0,-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9855699855699855,0.5552151573271036,1.0,0.0,0.01023013758786098,-0.0779835868013797,-0.24760381039364232,-0.9607990324544151,0.050389870980163565,0.7425483472687502,-0.6873269629975903
-1.0,-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9826839826839826,0.7861695921669755,1.0,0.0,0.01177444535738228,-0.013609608087959357,-0.24081454693067586,-0.9627611793627137,0.09551416011525671,0.7340768290523413,-0.6909247510323663
-1.0,-1.0,-1.0,-1.0,-0.6992599672532034,-1.0,-0.9797979797979797,0.9999999999999993,1.0,0.0,0.013275352076690882,0.04808855730809841,-0.23398120161512082,-0.9641260987486527,0.13693616827184218,0.7259855450885673,-0.6937075324316359
-1.0,-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.802020202020202,-0.9999999999999996,1.0,0.0,0.0307875165104327,-0.4396115014729768,-0.3865420738229745,-0.7367526420947078,-0.3942535722412308,0.9208925414172893,-0.8964873752703488
-1.0,-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.7708513708513708,-0.6147098441152081,1.0,0.0,0.01776543994684661,-0.36471373113331196,-0.3468363914713364,-0.8463546558106632,-0.2426394510850618,0.9077481479733203,-0.8821432577852364
-1.0,-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.7396825396825396,-0.2748598412305834,1.0,0.0,0.007937398497762458,-0.28975840919417745,-0.2887670210030913,-0.9344160185001013,-0.1067283085143309,0.882661777279017,-0.8524394066594495
-1.0,-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.7085137085137084,0.029146345659516293,1.0,0.0,0.0036935991666787503,-0.2171069840386691,-0.21495351990740652,-0.9641002192976699,-0.08164113736740042,0.8457958008402958,-0.8076678243864012
-1.0,-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.6773448773448774,0.30415339315938617,1.0,0.0,0.006364506424638175,-0.1533302841768271,-0.1428626649805391,-0.916827687650996,-0.21255644276062746,0.8083763975904232,-0.7618808248453054
-1.0,-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.6461760461760462,0.5552151573271036,1.0,0.0,0.014914831764457672,-0.10060665902215288,-0.08753394602298292,-0.8206084575581172,-0.4096427140568366,0.7816787503166832,-0.7292459271416255
-1.0,-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.615007215007215,0.7861695921669755,1.0,0.0,0.027203208342172186,-0.054844377261956984,-0.048660567877258754,-0.7107706210468328,-0.5782554177346131,0.7662626590255371,-0.7105608755971269
-1.0,-1.0,-1.0,-1.0,-0.915683805173624,-0.6000000000000001,-0.5838383838383838,0.9999999999999993,1.0,0.0,0.04152534646579354,-0.011759416783828747,-0.020344751843682646,-0.6033778994370886,-0.6916576287244505,0.7581142370371265,-0.7008670778315393
-1.0,-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.6040404040404039,-0.9999999999999992,1.0,0.0,0.06811614630032328,-0.433625389260813,-0.4378015183140447,-0.5076202898573032,-0.4846424372070146,0.9334437813988176,-0.9145632357206923
-1.0,-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.5445887445887445,-0.6147098441152078,1.0,0.0,0.037000129733359,-0.3616716466027556,-0.39420187070893953,-0.713509181556817,-0.3487926930052385,0.9274310093773004,-0.9081851058758946
-1.0,-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.485137085137085,-0.27485984123058305,1.0,0.0,0.011179284199922175,-0.289643224367519,-0.3084421666249534,-0.9121355432593004,-0.12420046382972494,0.8975037999861977,-0.8714372192513576
